songId,trackName,albumName,artists,length,genres,mood,link,playCount
1,Everything I Am,Graduation,Kanye West|DJ Premier,3:47,rap,east coast hip hop,HAPPY,spotify:track:0NrtwAmRAdLxua31SzHvXr,0
2,Ghost Town,ye,Kanye West|PARTYNEXTDOOR,4:31,rap,dark r&b,r&b,trap soul,MELANCHOLIC,spotify:track:7vgTNTaEz3CsBZ1N4YQalM,0
3,Bitch,Don’t Kill My Vibe,good kid,m.A.A.d city (Deluxe),Kendrick Lamar,5:10,hip hop,west coast hip hop,RELAXED,spotify:track:5h5tBFnbcVioFXiOixTn6E,0
4,Pink Matter,channel ORANGE,Frank Ocean|André 3000,4:28,,RELAXED,spotify:track:1fOkmYW3ZFkkjIdOZSf596,0
5,Thinkin Bout You,channel ORANGE,Frank Ocean,3:20,,RELAXED,spotify:track:7DfFc7a6Rwfi3YQMRbDMau,0
6,Jet Fuel,Swimming,Mac Miller,5:45,,MELANCHOLIC,spotify:track:2JmFRXaJrkAUD2cs6U20KG,4
7,Wings,Swimming,Mac Miller,4:10,,RELAXED,spotify:track:16umSNZfofRpDqTvf8DIAo,0
8,Devil In A New Dress,My Beautiful Dark Twisted Fantasy,Kanye West|Rick Ross,5:51,rap,southern hip hop,MELANCHOLIC,spotify:track:1UGD3lW3tDmgZfAVDh6w7r,0
9,Runaway,My Beautiful Dark Twisted Fantasy,Kanye West|Pusha T,9:07,rap,MELANCHOLIC,spotify:track:3DK6m7It6Pw857FcQftMds,0
10,Pursuit Of Happiness (Nightmare),Man On The Moon: The End Of Day,Kid Cudi|MGMT|Ratatat,4:55,indie,RELAXED,spotify:track:5ZOLcd8JCxHjrCQDp394IV,0
11,Reborn,KIDS SEE GHOSTS,KIDS SEE GHOSTS,5:24,,RELAXED,spotify:track:4RVbK6cV0VqWdpCDcx3hiT,0
12,Raindrops (Insane) [with Travis Scott],HEROES & VILLAINS,Metro Boomin|Travis Scott,3:08,rap,MELANCHOLIC,spotify:track:1pacwLXyRO47ka0v6LTIiY,0
13,I Wonder,Graduation,Kanye West,4:03,rap,RELAXED,spotify:track:7rbECVPkY5UODxoOUVKZnA,0
14,Nights,Blonde,Frank Ocean,5:07,,FOCUSED,spotify:track:7eqoqGkKwgOaWNNHx90uEZ,0
15,STOP TRYING TO BE GOD,ASTROWORLD,Travis Scott,5:38,rap,MELANCHOLIC,spotify:track:1xYpVRspgaLxdJLOTQkTjg,0
16,Ville Mentality,4 Your Eyez Only,J. Cole,3:14,rap,RELAXED,spotify:track:2z3joGXrdGL2iEjIKQTiN1,0
17,Nikes,Blonde,Frank Ocean,5:14,,RELAXED,spotify:track:19YKaevk2bce4odJkP5L22,0
18,Ivy,Blonde,Frank Ocean,4:09,,RELAXED,spotify:track:2ZWlPOoWh0626oTaHrnl2a,0
19,Pink + White,Blonde,Frank Ocean,3:04,,RELAXED,spotify:track:3xKsf9qdS1CyvXSMEid6g8,0
20,Pyramids,channel ORANGE,Frank Ocean,9:52,,MELANCHOLIC,spotify:track:4QhWbupniDd44EDtnh2bFJ,0
21,Good News,Circles,Mac Miller,5:42,,MELANCHOLIC,spotify:track:1DWZUa5Mzf2BwzpHtgbHPY,0
22,Woods,Circles,Mac Miller,4:46,,RELAXED,spotify:track:3Qa944OTMZkg8DHjET8JQv,0
23,Change,4 Your Eyez Only,J. Cole,5:31,rap,MELANCHOLIC,spotify:track:3pjUyVbFmM96tYhSaKJwTt,0
24,Over My Dead Body,Take Care (Deluxe),Drake,4:32,rap,FOCUSED,spotify:track:2Gnsof1hvZzjE1xdLRpjtf,0
25,Marvins Room,Take Care (Deluxe),Drake,5:47,rap,MELANCHOLIC,spotify:track:047fCsbO4NdmwCBn8pcUXl,0
26,Jungle,If You're Reading This It's Too Late,Drake,5:20,rap,RELAXED,spotify:track:7JXZq0JgG2zTrSOAgY8VMC,0
27,8am in Charlotte,For All The Dogs,Drake,4:26,rap,HAPPY,spotify:track:0w3Mfe4PIVjuFjJbe3OlYv,0
28,Virginia Beach,For All The Dogs,Drake,4:11,rap,MELANCHOLIC,spotify:track:3eP13S8D5m2cweMEg3ZDed,0
29,Furthest Thing,Nothing Was The Same (Deluxe),Drake,4:27,rap,MELANCHOLIC,spotify:track:6s64FyS9n0XYbGMLH3LOWU,0
30,All The Stars (with SZA),Black Panther The Album Music From And Inspired By,Kendrick Lamar|SZA,3:52,hip hop,west coast hip hop,r&b,RELAXED,spotify:track:7dMBU2Kf4vmvwfVLW6yb6P,0
31,Hand Me Downs,Circles,Mac Miller,4:58,,RELAXED,spotify:track:2Yv2mHzr5AQavVdwQjEokV,0
32,Surf,Circles,Mac Miller,5:30,,MELANCHOLIC,spotify:track:1kwnxJNVl7cwcU98RvMBaR,0
33,I KNOW ?,UTOPIA,Travis Scott,3:31,rap,HAPPY,spotify:track:6wsqVwoiVH2kde4k4KKAFU,0
